source_start	mapped_start
15927177	16050840
15926768	16051249
15925546	16052463
15925325	16052684
15925172	16052837
15925047	16052962
15925023	16052986
15924870	16053139
15924755	16053254
15924565	16053444
15924350	16053659
15924279	16053730
15924218	16053791
15924147	16053862
15923698	16054311
15923555	16054454
15923296	16054713
15923269	16054740
15922887	16055122
15922838	16055171
15922715	16055294
15922151	16055858
15922067	16055942
15921208	16056801
15920698	16057310
15920688	16057320
15920591	16057417
15919938	16058070
15919250	16058758
15919242	16058766
15919241	16058767
15918035	16059973
15917619	16060389
15917503	16060505
15917495	16060513
15917493	16060515
15917390	16060567
15917225	16060732
15917200	16060757
15917160	16060797
15916941	16061016
15915965	16061992
15915861	16062096
15915687	16062270
15914969	16062988
15914962	16062995
15914803	16063154
15914588	16063369
15914204	16063753
15912965	16064992
15912148	16065809
15912145	16065812
15910839	16067118
15910582	16067375
15910578	16067379
15910539	16067418
15910444	16067513
15909333	16068624
15908172	16069784
15907877	16070078
15907244	16070711
15907037	16070918
15904897	16073066
15900311	16077652
15900309	16077654
15897384	16080579
15896756	16081207
15893034	16084929
15892678	16085285
15892372	16085591
15880930	16097033
15879564	16098399
15874427	16103536
15869313	16108650
15864071	16113892
15864049	16113914
15858953	16119010
15855958	16122005
15854496	16123467
15854150	16123813
15853808	16124155
15848938	16129025
15845767	16132196
15841669	16136294
15841398	16136565
15838424	16139539
15838305	16139658
15834017	16143946
15832950	16145013
15831192	16146771
15830980	16146983
15826995	16150968
15825411	16152552
15825410	16152553
15825052	16152911
15824795	16153168
15823486	16154477
15821768	16156195
15821110	16156853
15820340	16157623
15819836	16158127
15818947	16159016
15818903	16159060
15818759	16159204
15818670	16159293
15818099	16159864
15817950	16160013
15815776	16162187
15811982	16165981
15807239	16170724
15807197	16170766
15804393	16173570
15798637	16179326
15792894	16185069
15792216	16185747
15792087	16185876
15791281	16186682
15785444	16192519
15784715	16193248
15784505	16193458
15784414	16193549
15783459	16194504
15783256	16194707
15782813	16195150
15781494	16196469
15779887	16198076
15778603	16199360
15777634	16200329
15777080	16200883
15777039	16200924
15776849	16201114
15776825	16201138
15776785	16201178
15776728	16201235
15775623	16202340
15772448	16205515
15771980	16205983
15769579	16208384
15769208	16208755
15769196	16208767
15769091	16208872
15769078	16208885
15765713	16212250
15765483	16212480
15765421	16212542
15765383	16212580
15765231	16212732
15764207	16213756
15760551	16217412
15760530	16217433
15760053	16217910
15759775	16218188
15759766	16218197
15759574	16218389
15759283	16218680
15758320	16219643
15758125	16219838
15756970	16220993
15756370	16221593
15756069	16221894
15754762	16223201
15752670	16225293
15752586	16225377
15752455	16225508
15752331	16225632
15752330	16225633
15749842	16228121
15749664	16228299
15748752	16229211
15748696	16229267
15748427	16229536
15743038	16234925
15742231	16235732
15740539	16237424
15738363	16239600
15737987	16239976
15737984	16239979
15737824	16240139
15737606	16240357
15737058	16240905
15736102	16241861
15735944	16242019
15735891	16242072
15735362	16242601
15735164	16242799
15733688	16244275
15732464	16245499
15732363	16245600
15732055	16245908
15731958	16246005
15731598	16246365
15731595	16246368
15731543	16246420
15730157	16247806
15725363	16252600
15725324	16252639
15725237	16252726
15722437	16255526
15720773	16257190
15720256	16257707
15718944	16259019
15718473	16259490
15714151	16263812
15712853	16265110
15708184	16269779
15699894	16278069
15696768	16281195
15696394	16281569
15694773	16283190
15691498	16286465
15691377	16286586
15690974	16286989
15690912	16287051
15690808	16287155
15690807	16287156
15690737	16287226
15690735	16287228
15690624	16287339
15690617	16287346
15690384	16287579
15690273	16287690
15690194	16287769
15690179	16287784
15690058	16287905
15690033	16287930
15690008	16287955
15689221	16288742
15688290	16289673
15688284	16289679
15687121	16290842
15686893	16291070
15686685	16291278
15685775	16292188
15685764	16292199
15684569	16293394
15680163	16297800
15675677	16302286
15672905	16305058
15668504	16309459
15662038	16315925
15650068	16327895
15645958	16332005
15639382	16338581
15638394	16339569
15637470	16340493
15637164	16340799
15636847	16341116
15636539	16341424
15636469	16341494
15636278	16341685
15636137	16341826
15634074	16343889
15633408	16344555
15633029	16344934
15632562	16345401
15626006	16351957
15624755	16353208
15624753	16353210
